REGISTRO_ANCINE,DATA_REGISTRO,RAZAO_SOCIAL,CNPJ,MUNICIPIO,CD_MUNICIPIO_IBGE,UF,CLASSIFICACAO_AGENTE_ECONOMICO
3132,2005-02-01,CINEMAS ALVORADA DIVERSÕES LTDA,02.104.789/0001-56,RIBEIRÃO PRETO,3543402.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
5387,2006-02-01,SANDRA HELENA SILVINO PARENTE - ME,00.078.422/0001-80,FORTALEZA,2304400.0,CE,Brasileiro independente 
11893,2007-02-01,CAVIDEO PRODUCOES COMERCIO E LOCACAO DE FILMES EIRELI,01.666.326/0001-15,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
18260,2011-02-01,COMERCIAL TALKING LTDA-ME,09.412.731/0001-19,BARRETOS,3505500.0,SP,Brasileiro independente 
18261,2011-02-01,CENAUM PRODUÇÕES LTDA.,10.828.110/0001-08,PORTO ALEGRE,4314902.0,RS,Brasileiro independente 
20776,2012-02-01,PAULO TARSO MACHADO SARAIVA,09.645.281/0001-04,BAGÉ,4301602.0,RS,Brasileiro independente 
20775,2012-02-01,SUSAN PEREIRA DA SILVA,14.864.686/0001-73,SALVADOR,2927408.0,BA,Brasileiro independente 
23180,2013-02-01,OSS PRODUÇÕES LTDA ME,10.502.952/0001-67,SÃO PAULO,3550308.0,SP,Brasileiro independente 
31968,2016-02-01,HELENA PRODUCOES ARTISTICAS LTDA,10.402.219/0001-70,SÃO PAULO,3550308.0,SP,Brasileiro independente 
35292,2017-02-01,4 BOCAS - FILMES E SERVIÇOS AUDIOVISUAIS LTDA,24.221.859/0001-99,BRASÍLIA,5300108.0,DF,Brasileiro independente 
35296,2017-02-01,CONTEÚDO FILMES PRODUÇÕES AUDIOVISUAIS,22.675.008/0001-90,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
35298,2017-02-01,KOCHE FILMES LTDA,21.131.235/0001-92,BALNEÁRIO CAMBORIÚ,4202008.0,SC,Brasileiro independente 
42131,2019-02-01,MEGABIT PROVEDOR DE INTERNET LTDA,24.122.280/0001-79,OSASCO,3534401.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
42132,2019-02-01,ANDREY CASSARO - ME,21.092.854/0001-15,CAMPINAS,3509502.0,SP,Brasileiro independente 
42133,2019-02-01,CWA LUMINARIS ASSESSORIA EMPRESARIAL LTDA.,09.124.308/0001-13,SÃO PAULO,3550308.0,SP,Brasileiro independente 
47653,2021-02-01,ART MAKER PUBLICIDADE LTDA,23.643.375/0001-75,SOROCABA,3552205.0,SP,Brasileiro independente 
47652,2021-02-01,ATROM PRODUCOES E CONSULTORIA LTDA,40.222.072/0001-06,VITÓRIA,3205309.0,ES,Brasileiro independente 
50405,2022-02-01,URBAN FILMS EIRELI,41.799.887/0001-07,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50403,2022-02-01,DANIEL VILACA LEITE,34.046.358/0001-77,ARAXÁ,3104007.0,MG,Brasileiro independente 
50412,2022-02-01,ROKE PRODUÇÕES ARTÍSTICAS LTDA,44.873.748/0001-74,GOIÂNIA,5208707.0,GO,Brasileiro independente 
50410,2022-02-01,INSANNA PRODUCOES LTDA - ME,10.715.087/0001-37,SÃO PAULO,3550308.0,SP,Brasileiro independente 
50409,2022-02-01,CENA RARA FILMES E PRODUCOES LTDA,17.475.488/0001-06,SALVADOR,2927408.0,BA,Brasileiro independente 
50406,2022-02-01,"BR CONSULTORIA, PRODUCAO E SERVICOS EM PROJETOS CRIATIVOS E CULTURAIS LTDA.",31.540.212/0001-95,BRASÍLIA,5300108.0,DF,Brasileiro independente 
50408,2022-02-01,TERRA UPAON AÇU FILMES LTDA,40.222.991/0001-71,SÃO LUÍS,2111300.0,MA,Brasileiro independente 
50411,2022-02-01,YOU CAST PARTICIPAÇÕES E ADMINISTRAÇÃO DE BENS MÓVEIS E IMÓVEIS LTDA,40.200.871/0001-73,SÃO PAULO,3550308.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
52745,2023-02-01,FABIO ANDRE DE OLIVEIRA MALVEIRA,15.577.088/0001-86,MANAUS,1302603.0,AM,Brasileiro independente 
52738,2023-02-01,L A LOBATO LTDA,32.606.835/0001-86,MACAPÁ,1600303.0,AP,Brasileiro independente 
52743,2023-02-01,49.392.003 CAMILA MARQUES DE CARVALHO KHOURI,49.392.003/0001-07,VITÓRIA DA CONQUISTA,2933307.0,BA,Brasileiro independente 
52739,2023-02-01,49.405.221 FREDERICO DO SACRAMENTO JANUARIO,49.405.221/0001-39,VITÓRIA,3205309.0,ES,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
52740,2023-02-01,CN FILMES E PRODUÇOES ARTÍSTICAS LTDA,14.715.937/0001-58,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
52746,2023-02-01,DIGITAL SEA FILMES LTDA,44.210.005/0001-14,SÃO PAULO,3550308.0,SP,Brasileiro independente 
52741,2023-02-01,SINERGIA PROJETOS CULTURAIS LTDA,30.568.946/0001-10,BELO HORIZONTE,3106200.0,MG,Brasileiro independente 
52742,2023-02-01,C F RIBEIRO PRODUCOES,22.058.027/0001-78,SÃO CARLOS,3548906.0,SP,Brasileiro independente 
52744,2023-02-01,TAMANDUÁ PRODUÇÕES AUDIOVISUAIS,45.275.551/0001-04,SÃO PAULO,3550308.0,SP,Brasileiro independente 
1839,2004-03-01,CECIP - CENTRO DE CRIAÇÃO DE IMAGEM POPULAR,29.260.676/0001-04,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
3276,2005-03-01,CRYSTAL VISION PRODUCTIONS LTDA,31.887.805/0001-22,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
3281,2005-03-01,SSOLL VÍDEO PRODUÇÕES LTDA,05.065.019/0001-30,CASCAVEL,4104808.0,PR,Brasileiro independente 
3278,2005-03-01,MEDIA VIEW PRODUTORA LTDA - ME,06.280.536/0001-94,LUZIÂNIA,5212501.0,GO,Brasileiro independente 
20999,2012-03-01,V.C.N. PROPAGANDA LTDA,02.358.858/0001-58,TANGARÁ DA SERRA,5107958.0,MT,Brasileiro independente 
20997,2012-03-01,LARANJEIRAS PRODUCOES LTDA,08.543.176/0001-00,SÃO PAULO,3550308.0,SP,Brasileiro independente 
21001,2012-03-01,ABROLHOS PRODUÇÕES LTDA,03.908.494/0001-03,SÃO PAULO,3550308.0,SP,Brasileiro independente 
20995,2012-03-01,AGENCIA AG PRODUCOES LTDA,14.133.679/0001-00,MARÍLIA,3529005.0,SP,Brasileiro independente 
20996,2012-03-01,TALLES GABRIEL IVO DE OLIVEIRA,13.623.341/0001-65,UBERABA,3170107.0,MG,Brasileiro independente 
23379,2013-03-01,GILDASIO LIMA DA SILVA 76090710300,16.559.673/0001-16,GURUPI,1709500.0,TO,Brasileiro independente 
23374,2013-03-01,RONALDO LUIZ BERNARDI,11.891.475/0001-31,GUATAMBÚ,4206652.0,SC,Brasileiro independente 
32211,2016-03-01,PLUMER & PLUMER LTDA.,94.964.939/0001-10,SANTA CRUZ DO SUL,4316808.0,RS,Brasileiro independente 
32208,2016-03-01,MARKETING FITNESS EIRELI,17.189.246/0001-56,SÃO PAULO,3550308.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
32207,2016-03-01,ANDREA KURACHI ME,20.991.532/0001-45,SÃO PAULO,3550308.0,SP,Brasileiro independente 
32206,2016-03-01,CAZUMBA PRODUCOES CULTURAIS EIRELI,19.668.184/0001-90,CURITIBA,4106902.0,PR,Brasileiro independente 
35637,2017-03-01,MELO TELECOMUNICAÇÕES LTDA,08.664.106/0001-00,JARAGUÁ,5211800.0,GO,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
38968,2018-03-01,UNIVERSO AUDIOVISUAL LTDA - EPP,28.871.194/0001-10,SÃO PAULO,3550308.0,SP,Brasileiro independente 
38962,2018-03-01,DOS PERROS PRODUÇÕES E COMUNICAÇÃO LTDA,19.623.783/0001-98,SÃO PAULO,3550308.0,SP,Brasileiro independente 
