IDENTIFICACAO_CONTRATO;TITULO_PROJETO;CHAMADA_PUBLICA;ANO_CHAMADA_PUBLICA;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_DISTRIBUIDORA_PROGRAMADORA;RAZAO_SOCIAL_DISTRIBUIDORA_PROGRAMADORA;DT_PUBLICACAO_CONTRATO_DOU;VL_CONTRATO_DOU;DT_PRIMEIRO_DESEMBOLSO;VL_TOTAL_LIBERADO
02.09.0557.00;DE PERNAS PRO AR;PRODECINE 02;2008;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;42.473.256/0001-66;MORENA FILMES EIRELI - ME;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;08/12/2009; 3000000,00;21/12/2009; 3000000,00
02.09.0558.00;DESENROLA;PRODECINE 02;2008;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;72.062.029/0001-09;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;08/12/2009; 2000000,00;21/12/2009; 2000000,00
02.09.0601.00;HISTÓRIAS DE AMOR DURAM APENAS 90 MINUTOS;PRODECINE 01;2008;31.939.739/0001-97;TIPOS E TEMPOS PRODUÇÕES LTDA;31.939.739/0001-97;TIPOS E TEMPOS PRODUÇÕES LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;24/12/2009; 300000,00;13/01/2010; 300000,00
02.09.0592.00;INSOLAÇÃO;PRODECINE 01;2008;05.919.250/0001-43;CISMA PRODUÇÕES CINEMATOGRÁFICAS, EVENTOS E TEATRO LTDA;05.919.250/0001-43;CISMA PRODUÇÕES CINEMATOGRÁFICAS, EVENTOS E TEATRO LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;24/12/2009; 500000,00;15/01/2010; 500000,00
02.09.0614.00;DO COMEÇO AO FIM;PRODECINE 01;2008;03.838.776/0001-73;HARE FILMES PRODUCOES LTDA - ME;03.838.776/0001-73;HARE FILMES PRODUCOES LTDA - ME;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;29/12/2009; 461740,00;13/01/2010; 461740,00
02.10.0006.00;CINCO VEZES FAVELA 2 - AGORA POR NÓS MESMOS;PRODECINE 02;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;73.586.513/0001-08;LUZ MÁGICA PRODUÇÕES AUDIOVISUAIS LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;18/01/2010; 1000000,00;03/02/2010; 1000000,00
02.10.0018.00;CHICO XAVIER;PRODECINE 01;2008;02.605.295/0001-55;LEREBY PRODUÇÕES LTDA;02.605.295/0001-55;LEREBY PRODUÇÕES LTDA;00.979.601/0001-98;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;12/02/2010; 1800000,00;25/02/2010; 1800000,00
02.10.0017.00;O PALHAÇO;PRODECINE 02;2008;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;02.140.120/0001-10;BANANEIRA FILMES LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;12/02/2010; 800000,00;22/02/2010; 800000,00
02.10.0024.00;31 MINUTOS;PRODECINE 03;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;02.863.008/0001-07;TOTAL ENTERTAINMENT LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;23/02/2010; 486080,00;;
02.10.0021.00;A LUZ DO TOM;PRODECINE 03;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;42.164.699/0001-75;REGINA FILMES LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;23/02/2010; 138450,00;;
