SALIC;TITULO_PROJETO;MUNICIPIO_PROPONENTE;UF_PROPONENTE;SITUACAO_REGISTRO;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;LEI_8313;ART1;ART1A;ART3;ART3A;ART39;FUNCINES;TOTAL_CAPTADO;DT_APROVACAO_CAPTACAO;DT_1_LIBERACAO
04-0353;O DIA EM QUE O BRASIL ESTEVE AQUI;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;190000,0;440000,0;0,0;0,0;0,0;0,0;0,0;630000,0;23/03/2005;15/12/2006
06-0305;A Hora e a Vez de Augusto Matraga;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;2604045,0;970000,0;0,0;0,0;0,0;0,0;3574045,0;25/05/2007;16/07/2009
06-0412;Estação Liberdade;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;310251,0;1000000,0;0,0;0,0;0,0;0,0;1310251,0;07/03/2007;29/12/2010
07-0251;Rio Breaks - Uma Estória de Surfe e Sobrevivência (ex-Nova Onda);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;162500,0;0,0;0,0;0,0;0,0;0,0;0,0;162500,0;14/12/2007;15/05/2009
07-0517;O Guia (ex-Cozinha Punk);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;704999,78;0,0;704999,78;13/03/2008;29/10/2008
08-0029;Ser, Osesp (Ex-Prazer, Osesp);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;14152,05;0,0;14152,05;02/06/2008;05/02/2009
10-0113;FDP;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;2999999,99;5702901,9;0,0;8702901,89;22/10/2010;20/12/2010
10-0310;O Roubo da Taça (Ex-O Inacreditável Roubo da Jules Rimet);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;1500100,0;800000,0;0,0;0,0;0,0;0,0;2300100,0;22/11/2010;04/03/2015
10-0568;Até que a morte nos Separe;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;930000,0;0,0;930000,0;01/04/2011;14/07/2011
13-0281;Até que a Morte Nos Separe - 2ª Temporada;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;1209006,94;0,0;1209006,94;08/08/2013;11/09/2014
